s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
0.19,551.111,640.921,928.59,381.921,551.123,952.205,389.173,471.052,948.917,561.159,397.933,938.676,453.919,701.053,793.053,400.207,669.419,454.77,0,0,0,347.084,675.106,434.877,373.837,638.049,381.478,74.2786,646.287,173.028,0,0,0,26.9322,602.197,192.832,150.288,591.695,44.2082,0,0,0,111.255,657.093,42.8426,560.385,346.096,790.515,689.499,404.117,483.936,0,0,0,684.529,396.049,444.104,721.492,444.958,422.812,689.137,418.147,65.1397,0,0,0,640.558,454.299,43.3674,836.576,469.294,47.6496,0,0,0,805.477,400.315,28.111
0.2,553.017,639.311,928.926,383.865,549.717,952.494,391.29,469.59,949.828,563.569,396.658,940.645,456.566,698.997,792.149,410.716,671.512,452.862,0,0,0,357.133,676.384,434.009,384.189,641.028,379.646,75.5433,645.009,183.809,0,0,0,31.2352,599.627,206.57,140.09,591.552,47.2068,0,0,0,100.967,656.068,48.3402,561.354,343.202,791.498,688.154,402.144,482.208,0,0,0,682.134,394.621,442.413,719.331,443.559,420.749,675.564,418.682,65.1608,0,0,0,626.436,454.468,44.0856,822.922,469.08,45.4311,0,0,0,790.774,398.556,26.5534
0.21,554.655,637.926,929.751,385.443,548.199,952.996,392.804,468.096,951.164,565.228,396.023,942.687,458.967,697.04,791.717,422.651,673.379,451.073,0,0,0,368.938,677.505,433.004,396.004,643.663,377.882,79.6946,643.416,194.46,0,0,0,38.3767,596.89,220.052,131.602,591.173,51.0494,0,0,0,92.4922,654.655,56.2588,561.48,341.029,791.679,685.773,400.242,480.422,0,0,0,678.514,393.008,440.795,715.779,441.716,419.07,661.119,418.942,65.1747,0,0,0,611.788,454.458,44.4892,808.655,469.363,43.8447,0,0,0,775.975,397.164,25.5191
0.22,556.001,636.747,930.902,386.994,546.792,953.94,394,466.744,953.008,566.687,394.924,944.562,461.796,694.68,791.253,435.436,674.699,449.483,0,0,0,382.028,678.917,432.153,408.902,645.288,376.071,86.3963,641.787,204.311,0,0,0,48.132,593.833,232.242,125.407,590.837,55.4468,0,0,0,87.5412,653.434,64.8994,561.587,339.433,792.484,682.585,398.751,479.883,0,0,0,673.687,391.423,440.022,710.613,439.694,417.75,646.224,418.89,65.1051,0,0,0,596.782,454.333,44.8088,793.91,469.514,43.0936,0,0,0,760.819,396.519,24.8764
0.23,557.017,635.747,932.271,388.32,545.739,955.189,394.882,465.838,955.276,567.711,393.756,946.195,464.732,692.935,790.902,448.657,675.774,448.319,0,0,0,395.666,680.037,431.69,422.768,646.362,374.896,94.9973,640.132,213.134,0,0,0,59.7607,590.828,243.042,122.48,590.266,60.0886,0,0,0,86.3484,651.621,74.1538,561.777,338.183,794.473,677.12,397.214,479.853,0,0,0,667.622,389.839,439.906,704.071,437.676,416.566,630.796,418.827,65.1208,0,0,0,581.319,454.141,45.1933,778.716,468.992,42.6463,0,0,0,745.294,395.595,24.3256
0.24,557.609,634.838,933.714,389.355,544.927,956.741,395.725,464.858,957.659,568.598,392.693,948.015,467.923,691.132,790.378,462.069,676.423,447.713,0,0,0,409.796,681.075,431.584,436.849,647.025,374.436,105.031,637.966,221.158,0,0,0,71.8547,587.898,252.459,124.419,590.591,65.2826,0,0,0,89.214,649.823,82.9709,562.217,337.46,797.484,669.974,395.474,479.593,0,0,0,659.772,388.342,439.428,696.23,435.672,415.434,615.04,418.69,65.1406,0,0,0,565.658,453.861,45.4792,763.119,468.648,42.3421,0,0,0,729.479,394.909,23.9372
0.25,558.344,633.444,935.289,390.169,544.129,958.498,396.373,464.218,960.266,569.416,391.878,950.324,471.089,689.51,790.147,475.753,676.722,447.781,0,0,0,424.058,681.595,431.83,450.974,647.126,374.652,115.837,635.232,228.429,0,0,0,83.5999,584.256,259.659,134.523,592.955,71.1761,0,0,0,97.4176,649.69,91.025,562.568,336.942,800.605,662.194,394.074,478.598,0,0,0,650.605,387.138,438.692,687.13,434.169,414.103,599.24,418.385,65.2361,0,0,0,549.744,453.565,45.7441,747.341,468.474,42.0273,0,0,0,713.505,394.45,23.7643
0.26,558.295,633.075,936.756,390.349,543.465,960.422,396.875,463.424,962.935,570.009,391.21,952.927,474.077,688.184,790.372,489.655,676.763,448.553,0,0,0,438.128,681.161,432.65,465.479,646.62,375.45,127.775,631.947,234.596,0,0,0,95.5723,580.045,264.175,149.948,595.246,76.1627,0,0,0,111.979,651.626,97.7903,562.356,336.532,803.304,653.479,393.132,477.54,0,0,0,640.719,386.247,437.842,677.005,433.392,412.567,583.455,418.382,65.3149,0,0,0,533.888,453.515,46.1648,731.613,468.282,41.8703,0,0,0,697.572,394.107,23.5869
0.27,558.253,632.49,938.479,390.197,542.876,962.512,396.979,462.754,965.71,570.168,390.703,955.346,476.77,686.755,791.257,503.775,676.408,450.436,0,0,0,452.329,680.13,434.253,480.308,645.704,377.157,142.104,629.067,238.096,0,0,0,108.622,576.534,266.229,169.367,597.082,79.6313,0,0,0,131.484,653.206,102.33,561.043,335.712,805.077,643.761,392.541,476.692,0,0,0,630.405,385.78,436.995,666.327,432.947,411.24,567.729,418.567,65.443,0,0,0,518.154,453.705,46.5674,715.907,468.207,41.6382,0,0,0,681.623,393.946,23.5656
0.28,558.205,631.812,940.632,390.21,542.177,964.917,397.3,461.984,968.399,570.059,389.998,957.482,479.099,685.786,792.955,517.912,675.712,453.034,0,0,0,466.781,678.776,436.282,495.43,644.521,379.485,157.751,626.734,239.467,0,0,0,122.656,573.75,266.077,191.794,599.078,81.9278,0,0,0,152.36,654.252,104.883,558.897,335.145,805.852,633.849,392.444,476.011,0,0,0,619.452,385.57,436.392,655.099,432.552,410.088,552.005,418.861,65.728,0,0,0,502.453,453.978,47.0048,700.249,468.165,41.4723,0,0,0,665.672,393.875,23.5114
