s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
3.08,600.294,619.779,957.493,426.062,541.468,978.001,429.07,460.347,985.188,596.196,376.917,966.269,560.328,676.948,815.493,717.81,645.466,508.419,0,0,0,683.094,651.399,465.941,734.848,614.758,435.932,586.645,620.362,102.01,0,0,0,541.68,568.02,83.3122,736.838,598.889,54.3958,0,0,0,693.708,652.769,36.0677,546.313,326.494,809.639,494.464,382.108,473.839,0,0,0,470.631,378.89,439.877,502.169,423.607,405.986,348.376,422.01,79.9962,0,0,0,298.225,459.626,68.3844,493.985,467.956,42.0052,0,0,0,455.608,396.007,23.5041
3.09,601.066,620.345,956.243,425.981,542.049,976.003,428.524,461.748,983.667,596.16,376.851,964.587,561.101,676.784,814.232,719.567,644.119,508.001,0,0,0,686.757,650.479,464.135,739.628,613.875,437.002,617.651,623.136,93.34,0,0,0,574.001,571.071,70.8607,770.908,601.349,56.4921,0,0,0,729.335,655.67,35.698,543.845,326.704,807.918,485.452,382.477,473.112,0,0,0,460.768,379.604,439.509,491.718,424.505,405.219,333.208,423.31,81.6156,0,0,0,283.114,460.98,70.6366,478.423,468.638,41.8344,0,0,0,439.622,396.579,23.7229
3.1,601.534,620.323,954.518,426.025,542.573,973.689,428.555,461.846,981.639,595.55,376.834,962.354,561.499,676.802,812.349,720.355,643.228,506.973,0,0,0,690.165,650.394,462.263,743.664,613.447,437.488,648.48,625.911,86.2119,0,0,0,606.413,573.966,60.4504,803.785,603.104,60.0666,0,0,0,764.237,657.907,36.8289,541.638,326.88,806.074,476.779,383.977,472.333,0,0,0,451.021,380.46,439.139,481.452,425.25,404.466,318.049,424.563,83.2868,0,0,0,268.069,462.541,73.0038,463.202,468.859,41.7248,0,0,0,423.404,397.751,23.8038
3.11,602.116,620.339,952.543,426.324,543.08,971.11,428.659,462.374,979.362,595.026,376.81,960.004,561.902,676.636,810.017,720.579,642.39,505.374,0,0,0,692.369,649.956,459.243,747.272,613.109,437.444,678.549,628.624,81.0518,0,0,0,637.82,577.387,52.1668,835.18,604.179,65.1698,0,0,0,797.976,659.412,39.7048,539.476,326.965,804.198,468.032,384.079,471.745,0,0,0,441.484,381.297,438.932,471.358,426.025,403.731,302.909,426.051,85.3868,0,0,0,253.123,464.267,75.8006,447.69,469.404,41.6071,0,0,0,407.547,398.42,24.3217
3.12,602.918,620.359,950.471,426.668,543.487,968.404,428.572,463.085,976.853,594.766,376.755,957.641,563.079,676.383,807.603,720.645,641.59,503.127,0,0,0,694.836,649.723,456.234,750.517,612.741,436.902,707.245,631.084,77.6556,0,0,0,667.915,580.467,45.8074,864.341,604.353,72.0328,0,0,0,829.714,660.189,44.2567,537.561,326.875,802.362,459.649,384.756,471.285,0,0,0,432.145,382.104,438.949,461.621,426.619,403.21,288.033,427.551,87.6213,0,0,0,238.374,465.961,78.8448,432.164,469.925,41.4558,0,0,0,391.45,399.319,24.7639
3.13,603.809,620.432,948.239,427.086,543.905,965.613,428.865,463.883,974.221,594.992,377.23,955.548,562.793,676.27,804.402,720.705,641.076,500.552,0,0,0,697.787,649.646,453.577,753.507,612.157,436.172,733.997,632.644,75.973,0,0,0,696.053,583.042,41.3449,890.73,603.857,80.4994,0,0,0,858.897,660.417,50.6194,535.613,326.853,800.523,451.637,385.434,470.796,0,0,0,423.238,382.729,439.131,452.31,426.998,402.739,273.189,428.8,90.2528,0,0,0,223.669,467.434,82.3065,416.648,470.435,41.348,0,0,0,375.335,400.221,25.2147
3.14,604.849,620.541,945.954,428.192,545.629,962.619,429.21,464.82,971.501,594.827,377,952.917,563.242,676.536,801.561,720.768,640.789,498.166,0,0,0,700.121,649.612,450.746,756.192,611.42,435.571,757.794,633.86,75.6857,0,0,0,721.605,584.518,38.6419,913.864,603.166,89.7142,0,0,0,884.618,660.111,57.8316,533.72,326.868,798.748,444.029,385.731,470.267,0,0,0,414.923,383.2,439.445,443.555,427.271,402.228,258.642,429.451,93.0433,0,0,0,209.145,468.283,86.1547,401.029,470.898,41.2463,0,0,0,359.302,400.934,25.6836
3.15,606.161,620.797,943.74,429.047,546.625,959.928,429.849,465.809,968.709,594.893,377.092,950.546,563.786,677.392,799.32,720.798,640.818,496.097,0,0,0,701.985,649.91,448.059,758.555,610.71,435.087,778.76,634.083,76.2256,0,0,0,743.898,585.498,37.2222,933.376,602.079,98.459,0,0,0,906.523,659.308,64.8378,531.785,327.048,797.077,437.114,385.894,469.705,0,0,0,407.53,383.38,439.702,435.572,427.491,401.579,244.263,429.617,96.1254,0,0,0,194.776,468.444,90.3229,385.433,471.309,41.0154,0,0,0,343.568,401.559,25.9457
3.16,607.651,621.103,941.645,430.935,549.065,957.906,430.683,467.169,965.995,595.152,377.292,948.173,564.822,678.877,797.946,720.723,641.222,494.121,0,0,0,703.654,650.46,445.965,760.274,610.606,434.68,795.678,634.158,77.1621,0,0,0,761.876,585.937,36.8073,948.919,600.48,106.09,0,0,0,924.277,657.858,70.8489,529.992,327.269,795.474,431.157,385.723,469.051,0,0,0,401.082,383.474,439.664,428.449,427.39,400.709,230.221,429.219,99.487,0,0,0,180.701,467.824,95.0186,369.766,471.608,40.9716,0,0,0,327.823,401.852,26.4645
3.17,609.297,621.536,939.794,433.297,550.434,955.67,431.769,468.577,963.463,594.776,377.458,945.805,566.671,680.466,797.066,721.073,641.93,492.336,0,0,0,705.192,650.95,444.091,761.933,610.807,434.254,808.368,634.051,78.0518,0,0,0,775.287,586.388,36.7094,960.344,598.144,111.456,0,0,0,937.862,655.822,75.3917,528.505,327.662,793.932,426.209,385.368,468.223,0,0,0,395.852,383.331,439.386,422.449,427.142,399.549,216.631,428.152,103.26,0,0,0,166.979,466.643,100.36,354.003,471.717,40.8932,0,0,0,312.253,402.003,27.064
3.18,611.187,622.148,938.254,434.639,551.646,953.595,433.096,470.058,961.108,595.777,378.022,943.468,569.991,682.559,796.606,722.616,642.316,490.921,0,0,0,707.066,651.424,442.687,763.865,610.904,433.676,816.627,633.555,78.2312,0,0,0,783.422,586.359,36.4546,967.676,595.369,113.797,0,0,0,946.642,653.374,77.1996,527.51,328.42,792.495,422.292,384.72,467.319,0,0,0,392.05,383.106,438.886,417.664,426.648,398.218,203.501,426.949,107.705,0,0,0,153.822,464.969,106.369,338.402,471.787,40.8571,0,0,0,296.932,401.985,27.7896
3.19,613.131,622.797,937.074,436.318,553.005,951.698,434.684,471.553,959.042,596.977,378.561,941.28,574.337,684.172,795.792,725.468,642.187,490.311,0,0,0,709.612,651.442,441.657,766.113,610.469,432.928,820.169,632.614,77.2925,0,0,0,786.474,585.793,35.6389,970.848,592.513,112.78,0,0,0,950.713,650.657,75.7767,527.175,329.277,791.095,419.741,383.952,466.264,0,0,0,389.457,382.692,438.212,414.188,425.982,396.726,191.068,425.257,112.656,0,0,0,141.409,463.112,113.144,322.961,471.93,40.9429,0,0,0,281.738,401.928,28.7513
3.2,615.222,623.691,936.258,438.194,554.431,950.115,436.595,472.907,957.148,599.554,379.362,939.362,579.295,685.517,794.987,729.238,641.679,490.169,0,0,0,712.813,651.005,440.748,768.769,609.587,431.863,819.314,631.27,75.1068,0,0,0,784.59,584.714,34.2014,970.107,589.702,108.344,0,0,0,950.103,647.809,71.2346,527.69,330.433,789.749,418.851,383.253,464.995,0,0,0,388.297,382.189,437.391,412.124,425.344,395.015,179.495,423.66,118.325,0,0,0,129.844,461.369,120.853,307.627,471.745,41.0051,0,0,0,266.805,401.863,29.9139
3.21,617.586,624.777,935.586,440.27,555.698,948.598,438.728,474.515,955.365,601.461,380.358,937.811,584.011,686.445,794.308,733.056,640.632,490.027,0,0,0,716.262,650.363,439.857,771.537,608.299,430.226,814.194,629.708,72.0452,0,0,0,777.517,583.532,33.2183,965.425,586.556,100.844,0,0,0,945.018,644.802,64.0142,528.994,331.714,788.477,419.982,382.877,463.346,0,0,0,388.666,381.638,436.171,411.548,424.638,393.09,168.874,421.826,124.665,0,0,0,119.554,459.456,129.411,292.741,471.702,41.2032,0,0,0,252.056,401.692,31.35
3.22,620.126,626.13,935.171,442.597,557.348,947.375,440.919,476.23,953.758,603.771,381.785,936.378,587.992,687.04,793.766,736.554,638.723,490.089,0,0,0,719.815,649.658,438.934,773.655,606.794,428.195,806.102,628.377,69.1132,0,0,0,766.276,583.432,32.9819,957.597,582.876,90.624,0,0,0,936.036,641.418,54.4389,531.021,333.22,787.033,423.184,382.451,461.27,0,0,0,390.776,380.919,434.727,412.405,423.899,390.696,159.205,420.165,131.685,0,0,0,110.535,457.927,138.849,277.775,471.893,41.3047,0,0,0,237.247,401.472,33.0982
3.23,622.605,627.608,934.895,444.778,559.07,946.656,443.256,477.825,952.51,606.264,383.252,935.243,591.328,687.139,793.203,739.605,636.602,489.992,0,0,0,722.858,649.016,438.476,775.71,605.245,426.277,796.751,627.311,68.0435,0,0,0,752.987,584.065,34.9161,948.719,578.835,75.9024,0,0,0,924.946,638.587,41.8871,533.736,335.276,785.475,428.384,382.326,458.867,0,0,0,394.605,380.393,432.839,414.997,423.057,387.831,150.847,418.666,139.309,0,0,0,103.487,456.718,149.206,263.23,471.739,41.4216,0,0,0,222.932,401.312,34.8579
3.24,625.084,629.111,935.094,446.929,560.262,947.147,445.455,479.112,951.776,608.95,384.669,934.282,593.729,689.01,793.564,742.723,635.693,490.554,0,0,0,725.856,648.569,439.652,777.799,603.422,425.928,786.135,626.963,67.8506,0,0,0,740.3,584.632,36.8892,938.539,576.501,65.4153,0,0,0,913.368,635.351,32.1415,537.209,337.672,783.558,435.323,382.25,455.95,0,0,0,400.217,379.978,430.915,419.541,422.211,384.569,144.887,417.283,147.695,0,0,0,98.927,455.787,160.617,249.299,471.599,41.5524,0,0,0,209.116,401.217,37.0812
3.25,627.666,630.378,935.708,449.44,561.655,947.755,447.653,480.036,951.515,611.329,386.217,933.62,595.926,691.067,794.885,745.669,635.135,491.722,0,0,0,728.897,648.416,441.865,779.66,601.531,426.528,776.171,626.64,67.826,0,0,0,727.768,586.068,38.7568,927.042,572.571,57.7881,0,0,0,901.804,635.119,28.4086,541.332,339.86,781.674,444.271,381.987,453.233,0,0,0,408.02,379.32,429.13,426.323,421.465,381.409,141.077,416.275,156.955,0,0,0,97.1417,455.583,173.47,235.258,471.06,41.7211,0,0,0,195.179,401.018,39.9654
3.26,630.261,631.315,937.154,451.791,562.946,948.48,449.756,480.777,951.42,613.46,387.882,933.371,597.674,692.816,796.216,748.022,635.026,492.757,0,0,0,731.087,648.393,443.344,780.708,600.551,427.07,764.415,625.735,68.0331,0,0,0,713.98,586.356,39.9547,913.955,570.062,51.0071,0,0,0,888.269,636.925,26.3335,545.684,341.979,780.02,455.731,381.25,450.006,0,0,0,418.22,378.401,427.014,435.681,420.118,378.178,140.26,417.084,166.511,0,0,0,98.8334,456.783,187.168,221.912,470.565,42.5798,0,0,0,180.863,401.172,43.7276
3.27,632.428,632.53,939.278,453.685,564.028,949.232,451.513,481.64,951.393,615.384,389.668,933.414,599.061,694.617,797.426,748.654,635.391,492.888,0,0,0,731.64,648.542,443.462,780.35,600.401,426.846,751.122,624.427,68.2341,0,0,0,699.822,586.079,40.7732,900.075,568.591,46.1309,0,0,0,874.059,637.96,25.5157,550.015,343.932,778.542,468.607,379.996,446.711,0,0,0,430.048,377.067,424.86,446.52,416.416,376.161,141.557,417.478,176.73,0,0,0,103.238,458.439,200.539,211.386,470.221,45.034,0,0,0,170.475,401.318,49.3656
3.28,634.272,633.885,941.494,455.122,564.99,949.848,453.157,482.606,951.352,616.948,391.257,933.552,599.965,696.377,798.271,747.828,636.195,492.115,0,0,0,730.289,649.124,442.556,778.32,600.962,425.512,737.741,623.436,68.2007,0,0,0,685.357,585.711,41.365,886.226,566.948,43.4092,0,0,0,859.963,638.405,25.5776,554.255,345.323,777.506,482.134,378.601,444.043,0,0,0,443.064,376.085,423.061,459.135,413.964,373.244,145.997,417.958,187.67,0,0,0,110.392,459.923,214.036,202.506,470.206,49.1834,0,0,0,162.819,401.588,57.1075
3.29,635.765,635.182,943.774,456.145,565.675,950.79,454.528,483.856,951.431,618.456,392.87,934.075,600.31,698.203,799.058,745.73,636.982,490.957,0,0,0,726.999,650.096,441.809,774.376,601.759,423.396,723.034,622.993,68.1446,0,0,0,670.339,585.613,41.7863,871.344,565.886,42.0382,0,0,0,844.865,638.428,25.5158,558.356,346.898,776.692,496.605,377.667,441.736,0,0,0,457.084,375.43,421.364,473.113,412.343,370.748,152.837,418.239,198.497,0,0,0,120.251,461.447,227.108,195.918,469.792,54.6678,0,0,0,157.606,401.592,66.5689
3.3,637.013,636.318,945.944,457.171,566.532,952.195,455.555,484.967,951.642,619.607,394.063,934.741,600.395,700.301,800.681,742.249,637.634,490.322,0,0,0,722.162,650.649,441.305,768.901,602.451,421.911,708.051,622.955,68.2466,0,0,0,654.959,585.683,42.2395,856.171,565.456,41.4429,0,0,0,829.473,638.732,25.4292,562.081,347.974,776.251,511.644,376.711,439.645,0,0,0,472.14,374.566,419.805,487.789,411.298,369.024,162.12,418.403,208.362,0,0,0,132.2,462.446,239.141,192.462,469.823,60.8475,0,0,0,155.63,402.29,77.2599
3.31,638.08,637.433,948.01,458.023,567.403,953.853,456.417,485.937,952.284,620.304,394.832,935.606,600.55,701.913,803.019,737.072,638.388,489.792,0,0,0,716.281,651.597,441.768,762.117,602.819,421.024,692.653,622.939,68.5206,0,0,0,639.284,585.71,42.631,840.669,565.388,40.9361,0,0,0,813.789,639.092,25.369,565.549,348.932,776.037,526.588,375.623,438.123,0,0,0,487.552,373.351,418.84,502.602,410.655,367.914,173.001,418,218.021,0,0,0,145.482,463.278,249.776,193.21,469.571,66.7409,0,0,0,158.228,403.472,87.6039
3.32,638.929,638.35,950.06,458.615,568.167,955.97,457.289,486.749,953.419,620.98,395.822,936.888,600.759,703.178,805.603,730.268,639.243,489.007,0,0,0,707.714,652.231,441.025,753.98,603.552,419.818,677.057,622.958,68.6055,0,0,0,623.382,585.85,43.0885,824.913,565.269,40.6239,0,0,0,797.913,639.238,25.3822,568.762,349.981,776.062,540.922,374.252,437.738,0,0,0,502.833,372.26,418.677,517.488,409.873,367.677,185.257,420.268,224.816,0,0,0,159.104,465.152,258.669,199.666,467.437,72.2018,0,0,0,164.706,404.339,96.5078
3.33,639.395,639.131,952.104,459.276,568.821,958.425,457.717,487.401,954.823,620.771,395.841,937.938,600.53,703.607,807.911,722.392,639.98,488.112,0,0,0,698.264,652.583,439.991,744.684,604.268,418.327,661.437,622.967,68.6627,0,0,0,607.61,585.927,43.562,809.195,565.243,40.4648,0,0,0,781.982,639.43,25.3978,571.706,351.109,776.754,555.028,373.092,438.491,0,0,0,517.786,371.262,419.352,532.539,409.135,368.321,196.834,421.772,232.685,0,0,0,171.423,468.625,264.657,212.992,464.12,77.7008,0,0,0,176.445,403.406,104.28
3.34,639.572,639.708,954.155,459.619,569.413,960.861,457.92,488.129,956.447,620.806,396.309,939.445,600.505,704.678,810.654,713.84,640.664,487.154,0,0,0,688.566,653.213,439.303,734.622,604.663,417.057,645.77,622.942,68.8847,0,0,0,591.794,585.849,44.099,793.36,565.369,40.3062,0,0,0,766.077,639.642,25.4301,574.295,352.243,778.071,569.345,372.25,440.12,0,0,0,532.341,371.002,420.846,547.673,408.908,369.885,210.252,424.948,237.636,0,0,0,184.042,472.263,267.949,231.813,460.296,81.7268,0,0,0,193.883,401.055,110.077
3.35,639.464,640.214,956.235,459.438,570.049,963.378,457.909,488.606,958.254,620.735,396.772,941.391,599.474,705.317,812.786,704.636,641.169,486.355,0,0,0,678.178,653.611,438.87,724.065,605.204,415.985,630.238,622.832,69.1142,0,0,0,575.986,585.508,44.5774,777.617,565.41,40.1595,0,0,0,750.166,639.814,25.5189,576.747,352.961,780.027,583.849,371.756,442.649,0,0,0,546.877,370.9,423.38,562.853,408.909,372.225,225.738,427.522,239.599,0,0,0,198.132,475.111,268.662,254.403,456.973,84.1599,0,0,0,215.791,398.736,113.732
3.36,639.103,640.698,958.292,459.156,570.401,965.798,457.689,488.95,960.393,619.933,397.307,943.346,597.544,705.801,814.383,694.806,641.451,485.612,0,0,0,667.367,653.751,438.665,712.698,605.459,414.95,614.629,622.712,69.4052,0,0,0,560.28,585.299,45.1166,761.783,565.429,40.1149,0,0,0,734.217,639.903,25.5375,579.056,353.495,782.522,597.99,371.861,446.004,0,0,0,561.294,371.394,426.24,578.287,409.102,375.313,242.467,429.635,239.259,0,0,0,213.402,477.692,266.748,279.609,453.441,85.3932,0,0,0,238.875,397.237,115.067
3.37,638.493,641.295,960.33,458.93,571.248,968.218,457.521,489.464,962.739,620.76,398.161,946.587,594.731,706.19,815.504,684.627,641.68,485.051,0,0,0,656.308,653.825,438.596,701.136,605.467,414.061,599.013,622.682,69.847,0,0,0,544.361,585.18,45.8559,745.952,565.57,40.0836,0,0,0,718.279,640.065,25.6892,581.391,353.864,785.439,611.908,372.18,449.877,0,0,0,575.625,371.995,429.422,593.792,409.286,378.969,260.061,431.598,236.831,0,0,0,229.57,480.219,262.369,306.568,450.678,85.4697,0,0,0,263.321,395.862,114.501
3.38,637.631,642.029,962.219,458.549,571.959,970.572,457.224,490.166,965.245,620.529,398.847,949.417,591.314,706.477,816.573,674.019,641.875,484.636,0,0,0,645.12,653.829,438.644,689.114,605.4,413.305,583.529,622.418,70.3231,0,0,0,528.706,584.853,46.6588,730.281,565.717,39.9515,0,0,0,702.34,640.058,25.748,583.425,353.631,788.338,625.405,372.583,453.778,0,0,0,589.6,372.474,432.764,609.279,409.556,382.963,278.658,433.105,232.377,0,0,0,246.763,482.215,255.681,334.603,448.784,84.3576,0,0,0,289.798,395.142,111.654
3.39,636.787,643.064,964.157,458.112,572.45,972.788,456.865,490.655,967.714,620.272,399.926,952.288,587.592,706.803,817.81,663.264,642.378,484.463,0,0,0,633.349,653.826,438.854,676.918,605.307,412.796,567.914,622.186,70.9622,0,0,0,512.904,584.46,47.7533,714.482,565.799,39.9081,0,0,0,686.352,640.051,25.897,586.938,354.647,791.507,638.408,372.89,458.23,0,0,0,603.121,373.198,436.047,624.313,410.085,387.045,298.452,433.964,226.044,0,0,0,264.864,483.596,247.056,363.564,447.913,82.1879,0,0,0,317.137,394.379,107.773
3.4,636.139,644.033,966.079,457.192,572.585,974.944,456.475,490.851,970.16,620.061,400.814,955.097,584.077,707.074,819.043,651.842,642.18,483.834,0,0,0,621.481,654.019,439.34,664.577,605.366,412.387,552.362,621.717,71.6508,0,0,0,497.211,583.847,48.7772,698.731,565.765,39.9096,0,0,0,670.358,640.008,26.0104,589.972,355.092,794.562,650.884,373.343,462.868,0,0,0,616.205,373.827,439.395,638.957,410.829,391.282,319.188,434.416,218.009,0,0,0,283.909,484.269,236.748,393.77,447.531,79.4189,0,0,0,345.671,394.39,102.032
3.41,634.907,644.913,967.902,456.397,572.612,976.93,455.919,490.918,972.369,619.696,401.917,957.657,580.575,707.491,820.167,640.225,642.371,483.52,0,0,0,609.569,654.136,439.865,651.967,605.571,412.159,536.807,621.106,72.4265,0,0,0,481.623,582.851,49.8167,683.15,565.88,39.9521,0,0,0,654.435,639.894,26.1225,592.732,355.483,797.666,662.647,374.162,467.461,0,0,0,628.85,374.526,442.616,653.348,411.652,395.691,340.731,434.53,208.614,0,0,0,303.939,484.173,224.879,425.237,447.236,76.3287,0,0,0,375.753,394.435,95.4047
3.42,633.558,645.857,969.348,455.508,572.533,978.806,455.22,490.859,974.325,619.292,402.792,960.024,577.371,707.906,821.231,628.1,643.047,483.597,0,0,0,597.112,654.566,440.586,639.908,606.509,412.277,521.291,620.265,73.299,0,0,0,466.332,581.248,50.8702,667.66,566.086,39.9872,0,0,0,638.433,639.77,26.2585,595.237,355.734,800.705,673.925,375.14,472.119,0,0,0,640.999,375.424,445.684,667.321,412.472,399.909,363.545,434.265,197.94,0,0,0,325.156,483.936,211.652,457.883,448.328,72.9499,0,0,0,407.174,394.579,88.1809
3.43,632.27,646.669,970.363,454.54,572.213,980.541,454.737,490.436,975.906,618.846,403.706,962.011,574.155,708.271,822.176,616.823,644.271,483.906,0,0,0,584.702,654.631,440.976,627.15,606.723,411.83,505.708,619.365,74.3599,0,0,0,450.616,579.8,52.2837,652.197,565.894,39.8956,0,0,0,622.438,639.466,26.3273,597.592,356.071,803.625,684.292,376.239,476.557,0,0,0,652.487,376.373,448.505,680.324,413.692,404.485,387.57,433.715,186.446,0,0,0,347.658,483.034,197.488,490.585,448.559,69.1428,0,0,0,439.535,394.349,80.8666
3.44,630.776,647.302,971.094,453.46,571.538,982.152,454.107,490.064,977.229,618.764,404.061,963.783,570.768,708.609,822.952,605.442,645.729,483.922,0,0,0,572.047,654.953,441.474,615.046,607.422,411.776,490.315,618.324,75.3749,0,0,0,435.303,578.278,53.8387,636.748,566.111,40.0423,0,0,0,606.441,639.162,26.4527,598.738,356.283,805.96,693.794,377.502,480.842,0,0,0,663.22,377.326,451.233,693.004,415.588,407.935,412.764,432.982,174.076,0,0,0,371.524,481.908,182.319,524.777,448.482,65.3664,0,0,0,472.869,394.419,72.6233
3.45,629.366,647.718,971.48,452.469,570.86,983.492,453.435,489.687,978.279,618.506,404.532,964.952,567.015,708.866,823.605,593.993,646.369,483.735,0,0,0,559.668,655.39,441.994,603.136,608.14,411.542,474.764,617.722,76.5684,0,0,0,419.866,576.976,55.5257,621.079,566.144,40.1112,0,0,0,590.337,638.951,26.4876,601.442,356.416,808.512,702.249,378.941,484.766,0,0,0,672.967,378.376,453.532,704.713,416.767,412.046,438.973,431.995,161.011,0,0,0,396.867,480.731,166.424,558.814,448.368,61.6858,0,0,0,507.029,393.899,64.8859
3.46,627.917,648.013,971.586,451.446,570.004,984.411,452.845,489.005,978.869,617.787,405.035,965.618,562.85,709.476,824.181,582.889,647.086,483.496,0,0,0,547.875,655.854,442.452,591.01,609.104,411.572,459.309,617.246,77.7394,0,0,0,404.485,576.279,57.3907,605.346,566.2,40.2023,0,0,0,574.123,638.674,26.2063,603.198,356.4,810.486,709.756,380.236,488.361,0,0,0,681.793,379.289,455.484,715.181,417.572,415.993,466.541,430.768,147.868,0,0,0,423.561,479.072,149.843,593.344,447.951,58.2113,0,0,0,541.904,393.018,57.4486
3.47,626.386,648.189,971.387,450.498,569.159,985.058,452.268,488.216,979.213,617.499,405.284,965.97,559.542,708.804,824.478,572.015,647.931,483.346,0,0,0,536.361,656.252,442.834,579.115,609.83,411.267,443.858,616.988,78.9414,0,0,0,388.849,575.877,59.3287,589.475,566.677,40.153,0,0,0,558.025,638.501,26.1792,604.752,356.26,812.052,715.997,381.296,491.248,0,0,0,689.575,379.766,457.077,724.658,418.125,419.491,494.937,429.128,134.604,0,0,0,452.178,477.559,133.411,628.432,446.889,55.3248,0,0,0,577.482,391.63,50.6319
3.48,624.814,648.199,970.938,449.559,568.172,985.355,451.742,487.356,979.222,617.378,405.403,965.938,555.803,708.836,824.536,561.412,648.58,483.146,0,0,0,525.097,656.596,443.186,567.472,610.369,411.039,428.432,617.008,80.1797,0,0,0,373.35,575.762,61.2658,573.622,566.775,40.2401,0,0,0,541.915,638.497,26.1632,605.929,356.36,813,720.971,382.305,493.536,0,0,0,696.274,380.349,458.002,733.123,418.476,422.47,524.662,427.1,121.658,0,0,0,481.435,475.136,116.857,663.709,445.251,53.1779,0,0,0,613.612,389.638,44.7845
3.49,622.805,648.027,969.974,448.69,567.094,985.278,451.241,486.253,978.932,617.358,405.504,965.491,552.166,708.84,824.422,551.112,648.93,482.82,0,0,0,514.105,656.887,443.47,555.993,610.68,410.662,413.169,617.124,81.3856,0,0,0,357.782,575.744,63.2777,557.739,566.711,40.0425,0,0,0,526.287,638.564,26.3016,607.884,355.723,813.919,724.801,383.136,495.237,0,0,0,702.073,380.685,458.249,740.632,418.888,424.925,555.394,424.439,109.646,0,0,0,512.357,472.415,101.054,699.017,443.171,51.8186,0,0,0,650.121,387.168,40.1346
3.5,620.317,648.008,968.409,448.204,566.826,984.697,450.908,485.152,978.263,617.371,405.522,964.587,548.63,708.805,824.207,541.004,649.221,482.467,0,0,0,503.253,657.206,443.764,544.617,611.019,410.33,397.771,617.196,82.7865,0,0,0,342.37,575.631,65.3378,542.011,566.785,40.0187,0,0,0,510.094,638.632,26.4053,609.218,355.4,814.176,727.484,383.935,495.954,0,0,0,707.042,380.895,457.786,747.005,419.672,426.874,587.361,422.051,98.2534,0,0,0,544.284,469.045,86.4544,734.32,440.623,51.8651,0,0,0,686.935,384.31,36.8614
3.51,619.648,647.936,967.479,446.907,564.904,984.398,450.487,483.941,977.12,617.526,405.528,963.263,545.159,708.992,823.874,531.07,649.548,482.079,0,0,0,492.467,657.405,444.036,533.522,611.452,409.886,382.573,616.951,84.1183,0,0,0,326.968,575.405,67.4755,526.352,567.063,39.885,0,0,0,494.039,638.601,26.419,610.406,355.11,813.879,729.488,384.745,495.99,0,0,0,711.228,381.128,456.85,752.313,420.417,428.158,619.278,417.223,88.9933,0,0,0,576.937,464.711,73.1838,769.434,438.381,53.2651,0,0,0,723.985,381.391,35.2769
3.52,618.322,647.929,965.998,446.217,563.314,983.3,450.193,482.65,975.619,617.828,405.476,961.62,541.847,709.003,823.309,521.274,649.845,481.622,0,0,0,482,657.768,444.362,522.464,611.887,409.428,367.148,616.83,85.6904,0,0,0,311.613,575.008,69.7565,510.585,567.207,39.8888,0,0,0,477.933,638.583,26.4597,611.07,354.933,812.658,730.653,385.727,495.206,0,0,0,714.419,381.562,455.592,756.744,421.073,429.11,651.847,413.071,80.8152,0,0,0,610.073,459.659,61.7787,803.948,436.571,56.1554,0,0,0,761.039,378.604,35.5293
